market_id,category,side,entry_at,exit_at,size_usd,pnl_usd,pnl_pct,exit_reason,won,suspect_classification,question
9591,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:47+00:00,2026-05-17T22:00:48.078022+00:00,500.0,2062.31,4.1246,end_of_data,True,False,Will world GDP growth be 3.4% in 2026?
9095,eu_hicp_above_consensus,BUY_YES,2026-04-21T18:00:48+00:00,2026-05-17T22:00:48.078022+00:00,500.0,7123.33,14.2467,end_of_data,True,True,Will the Eurozone's 2026 Annual Inflation be less than 1.0%?
9096,eu_hicp_above_consensus,BUY_YES,2026-04-21T18:00:48+00:00,2026-05-17T22:00:48.078022+00:00,500.0,192.63,0.3853,end_of_data,True,True,Will the Eurozone's 2026 Annual Inflation be between 1.0% and 1.2%?
9581,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:48+00:00,2026-05-17T22:00:48.078022+00:00,500.0,0.86,0.0017,end_of_data,True,True,Will Brazil’s Annual Inflation in 2026 be between 5.00% and 5.49%?
9091,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:50+00:00,2026-05-17T22:00:48.078022+00:00,500.0,130.51,0.261,end_of_data,True,True,Will the UK’s 2026 inflation be between 3.5% and 3.9%?
9101,eu_hicp_above_consensus,BUY_YES,2026-04-21T18:00:50+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-280.44,-0.5609,end_of_data,False,True,Will the Eurozone's 2026 Annual Inflation be between 2.5% and 2.7%?
9605,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:50+00:00,2026-05-17T22:00:48.078022+00:00,500.0,96.73,0.1935,end_of_data,True,True,Will South African inflation be between 3.2% and 3.5% in 2026?
11052,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:50+00:00,2026-04-28T18:00:08+00:00,500.0,633.02,1.266,convergence,True,True,Will Mexico’s 2026 Annual Inflation be between 4.50% and 4.99%?
8575,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:51+00:00,2026-05-17T22:00:48.078022+00:00,500.0,866.74,1.7335,end_of_data,True,True,Will Canada’s 2026 inflation be at least 4.0%?
11351,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:52+00:00,2026-04-28T18:00:08+00:00,500.0,231.96,0.4639,convergence,True,False,Will Japan GDP growth in Q1 2026 be between 0.3% and 0.5%?
